Agent_ID,Agent_Type,Budget_Left,Total_Cost,Win_Count,Win_Rate(%),Cumulative_Profit,ROI(%),Avg_Cost_Per_Win
Learning_0,Learning,19073.10471293068,4926.895287069373,8567,53.54375,32415.87875138046,657.9372376038896,0.5751015859775153
Learning_1,Learning,0.5011792986994998,23999.498820701305,8885,55.53125,26941.952003582788,112.26047762440525,2.701125359673754
Conservative_0,Conservative,0.5071737403484784,23999.492826259626,9287,58.04375,18258.257705686265,76.07768146545394,2.5842029531882877
Aggressive_1,Aggressive,0.3423270045750579,23999.65767299542,9177,57.356249999999996,18402.68638841038,76.67895367156511,2.6151964338013953
Truthful_2,Truthful,0.46673156665883564,23999.533268433257,4780,29.875,13365.655506512361,55.69131431440083,5.020822859504875
