round,reward,profit,win_rate,bid_value_ratio,budget_remaining_ratio
1,-2.6622284116308883,-0.9036836153044838,1.0,1.2960091015987238,0.9995711365007653
2,0.07859844240143889,0.03563076336478854,1.0,0.9169259587467224,0.9995607709298493
3,0.0,0.0,0.6666666666666666,0.5113281059963527,0.9995607709298493
4,0.033919841211832114,0.026462979884722904,0.75,1.2678389695135273,0.9995164108122419
5,-0.28146418826231717,-0.00751634096298659,0.8,1.02280714919076,0.9993968383440546
6,-4.385084001424154,-2.1646797350073825,0.8333333333333334,1.9745811410612302,0.9988717541218843
7,-3.23723120247503,-0.7417114353022125,0.8571428571428571,2.007381334356213,0.99828935417039
8,-0.2597254912181917,-0.12788954945779185,0.875,1.9885658550522733,0.99819938834919
9,0.0,0.0,0.7777777777777778,0.5498828224383353,0.99819938834919
10,0.0,0.0,0.7,0.5739513294547172,0.99819938834919
11,-0.3632651145356525,0.055916301627276344,0.7272727272727273,1.86110165837385,0.998048593237036
12,0.0,0.0,0.6666666666666666,0.48092470730977677,0.998048593237036
13,-0.23787271693094802,-0.23787271693094802,0.6923076923076923,1.9907692721109536,0.9979893933063216
14,-0.6730930596705591,-0.21153485751989765,0.7142857142857143,2.090729206792791,0.9978307353475402
15,-1.7529766192807703,-0.010480815110810227,0.7333333333333333,1.9681654393956436,0.997405215388338
16,0.0,0.0,0.6875,0.504636721405383,0.997405215388338
17,0.0,0.0,0.6470588235294118,0.5582325831990407,0.997405215388338
18,-1.6626392875772014,-0.1530620496316235,0.6666666666666666,1.2021843417949591,0.9970282201304328
19,0.0,0.0,0.631578947368421,0.578119957813717,0.9970282201304328
20,-0.06102362483122492,-0.06102362483122492,0.65,1.4398141752138258,0.9970075235177022
21,-2.3206672863682622,-0.07347820995097187,0.65,1.0966401681507547,0.996476859126782
22,0.0,0.0,0.6,0.4943290793942837,0.996476859126782
23,-1.0563226397540968,-0.16292255607513528,0.65,1.4892703930950817,0.9962282341093489
24,0.0,0.0,0.6,0.5044556398262431,0.9962282341093489
25,0.0,0.0,0.55,0.497540362349428,0.9962282341093489
26,-1.2096843981792031,-0.2896699478011797,0.55,1.618970697520449,0.9959740644321867
27,0.0,0.0,0.5,0.9459456749624506,0.9959740644321867
28,-0.40464870692137844,-0.24145387778174143,0.5,2.2598968912792863,0.9958775655094493
29,0.0,0.0,0.5,0.9845456168723522,0.9958775655094493
30,0.0,0.0,0.5,0.9915413706215522,0.9958775655094493
31,-2.556574486571473,-0.24840508157864072,0.5,1.3762121163966687,0.9953341968834091
32,-2.076847147888947,-0.08603697485156658,0.55,1.2616529344649194,0.9948569447640263
33,-1.5501103547422428,-0.1611157163536081,0.55,1.9992527361283894,0.9945050708810286
34,0.0,0.0,0.5,0.5047766666005371,0.9945050708810286
35,0.0,0.0,0.45,0.48771974399163753,0.9945050708810286
36,-1.6637988068396343,-0.2553953781422642,0.5,2.0279860389529065,0.9941491535000501
37,-2.3355104722310602,-0.03589626740345864,0.55,1.955941138305335,0.9936075672073775
38,-1.8885069024921024,-0.2347667850255899,0.55,1.999856873475163,0.9932005380162386
39,0.0,0.0,0.55,0.5039726391056261,0.9932005380162386
40,-1.9482550078787633,-0.34804635399169115,0.55,1.0709212386796283,0.9928046612133454
41,0.0,0.0,0.5,0.49650306583050197,0.9928046612133454
42,-0.15157143730781097,-0.14438836679100286,0.55,1.1276481775064402,0.9927406647403212
43,-0.6769645336576784,-0.17743556209646982,0.55,1.0832465138450924,0.9925740962045793
44,0.0,0.0,0.55,0.5082404003181491,0.9925740962045793
45,0.0,0.0,0.55,0.9036066379901477,0.9925740962045793
46,0.0,0.0,0.5,0.9091792956986459,0.9925740962045793
47,-0.3789721064715914,-0.2012010436796996,0.55,1.0949400462001366,0.9924745605664976
48,-0.7739473315274603,-0.11181330117682364,0.55,1.9814889832466456,0.9922741159768412
49,0.0,0.0,0.55,0.5150231263628675,0.9922741159768412
50,-0.9920796489384321,-0.08679112525940802,0.6,1.9380694291819998,0.9920230142010747
51,0.0,0.0,0.55,0.5099464310847238,0.9920230142010747
52,-0.4307542488235273,0.03561548469029985,0.55,1.774157082086313,0.9918627750260511
53,-0.885180788481344,-0.24499130234295308,0.55,1.8290622388688316,0.991666902216439
54,-2.504184381208372,-0.0688283140847119,0.6,1.3095624772650012,0.9910970363691216
55,-1.8416171539200574,-0.04247309611469241,0.65,1.61232377158283,0.9906597146904121
56,0.0,0.0,0.6,0.7708346344753803,0.9906597146904121
57,0.0,0.0,0.55,0.6172075987057247,0.9906597146904121
58,-2.1823741808707613,-0.19421198876984924,0.55,1.6667989231382736,0.9901830142337246
59,0.0,0.0,0.55,0.6621813617233292,0.9901830142337246
60,-1.3764776961091842,-0.3321495013347793,0.55,1.2766859043479635,0.9899029458598132
61,-3.041326299269788,-0.3380589172662063,0.6,1.2497038198270716,0.9892772651552291
62,0.0,0.0,0.55,0.6505533116175187,0.9892772651552291
63,-1.6761210526315082,-0.16101429810155388,0.55,1.6485296707177008,0.988899117914702
64,-2.2047768278870246,-0.31164080749756273,0.6,1.0638306328269536,0.9884422145771208
65,0.0,0.0,0.6,0.5382652110151993,0.9884422145771208
66,-2.322323134174409,-0.1962679696700409,0.65,1.971042821396803,0.9879367864178491
67,-0.8107568765019089,-0.23638099175488403,0.65,1.4401085500188606,0.9877546247751934
68,-0.048867307236605595,-0.048867307236605595,0.65,1.1140496004796616,0.9877264958267753
69,-0.8171781744236424,-0.09934615364622079,0.7,1.4263748850751308,0.9875144474891134
70,0.0,0.0,0.65,0.6035162731823277,0.9875144474891134
71,0.0,0.0,0.65,0.809839888450416,0.9875144474891134
72,0.0,0.0,0.6,0.502790149727394,0.9875144474891134
73,-2.326152930062714,-0.0704658362942201,0.6,1.067443365488104,0.9869820126779116
74,0.0,0.0,0.55,0.9413988558680776,0.9869820126779116
75,0.0,0.0,0.5,0.4947645419566312,0.9869820126779116
76,-1.1960323485518827,-0.15014449564836774,0.55,1.7616995034371428,0.9867016193752235
77,-2.395706321413286,-0.0247883357791423,0.6,2.000401252233237,0.9861451781282163
78,-1.2209847846282695,-0.11211708438172252,0.6,1.0622438548465873,0.9858516640239984
79,-0.7795747694993556,-0.17072049645831378,0.65,1.9585713741031663,0.9856623193837815
80,-0.13917148192063103,0.014057878436593896,0.65,1.00143230847261,0.9855675104651997
81,0.0,0.0,0.6,0.9301466439597492,0.9855675104651997
82,0.0,0.0,0.6,0.4933181690756361,0.9855675104651997
83,0.0,0.0,0.55,0.5014677379771266,0.9855675104651997
84,0.0,0.0,0.5,0.49967935058205604,0.9855675104651997
85,0.0,0.0,0.5,0.6585648154909537,0.9855675104651997
86,-0.6865259910870394,-0.18814834289213778,0.5,1.5162129303968581,0.9854011817884926
87,-2.8783594966751505,-0.15950042428540456,0.5,1.7903266009004548,0.984772252815078
88,-1.4078813925707958,-0.11651579933679113,0.5,1.1135604262199703,0.9844407183164876
89,-0.3169968618093343,-0.16938789158223155,0.5,1.4839490887425422,0.9843474664476903
90,0.0,0.0,0.5,0.4683980119096721,0.9843474664476903
91,-0.35287138299341325,-0.1550607410898257,0.55,1.487077540702256,0.9842437558972936
92,-1.8137415463845539,-0.16105343335431144,0.6,1.1389970553163968,0.9838369458737457
93,0.0,0.0,0.55,0.6262566021905625,0.9838369458737457
94,-1.276964249374718,-0.14508976024299436,0.6,1.6807775344584877,0.9835386386885099
95,0.0,0.0,0.6,0.6899639025787194,0.9835386386885099
96,-0.9122169349739004,-0.0036075306073239943,0.6,2.004361105055703,0.9832868450626001
97,-2.6183657649436585,-0.04018960373292835,0.6,1.1191336782739798,0.9826872250290145
98,0.0,0.0,0.55,0.8874646475655494,0.9826872250290145
99,-2.846651454648628,-0.2726819140147363,0.55,1.0760256637686494,0.9820884813747158
100,-2.4514320992184153,-0.09345713858354365,0.55,1.869240096152329,0.9815347365912503
101,-0.13693019268544349,-0.13693019268544349,0.6,1.563164748703592,0.9814905513361032
102,-2.175198920668434,-0.16620568090249677,0.65,1.0513462757259175,0.9810095110778185
103,-2.0658244186385026,-0.1970585557021014,0.7,1.1507951205247424,0.9805576848563734
104,0.0,0.0,0.7,0.641124713755599,0.9805576848563734
105,-0.7907238396036448,-0.1497633206781579,0.75,1.574882887230311,0.9803616514149306
106,0.0,0.0,0.7,0.5780475325350936,0.9803616514149306
107,-0.4020007102887647,-0.1904045271710353,0.7,1.3066786758951057,0.980255068876781
108,-1.3178100513059534,-0.2219898510621361,0.7,2.0582376449094326,0.9799642730017302
109,-1.3862764646942107,-0.19956941468177014,0.7,1.8853950183314252,0.9796545423663109
110,-2.8749991773451233,-0.23588382318211032,0.75,1.9919669054735496,0.9790422266675268
111,-2.6980224256512235,-0.22541582980302444,0.75,1.0997965151185811,0.9784646002933919
112,-0.752129654167373,-0.1540824389122335,0.75,1.6657061843573504,0.9782775071235471
113,-1.4581867940901672,-0.1344145402668957,0.8,2.0381771555659713,0.9779392212373339
114,0.0,0.0,0.75,0.5636989236901537,0.9779392212373339
115,-3.610657862844908,-0.9001005666661683,0.8,1.1920681751957902,0.97731202180063
116,-2.8287703510129703,-0.3340227827319495,0.8,2.000632198884453,0.9767297827239048
117,-0.9120121202814485,-0.20691335661242594,0.8,1.2334163646641612,0.9765203871481404
118,-1.9333433388793226,-0.2615073241737207,0.85,1.336944948158969,0.9761095879784101
119,0.0,0.0,0.8,0.5946078889292128,0.9761095879784101
120,0.0,0.0,0.75,0.4970498330471861,0.9761095879784101
121,0.0,0.0,0.7,0.7331765072119543,0.9761095879784101
122,0.0,0.0,0.65,0.9850659905410188,0.9761095879784101
123,-2.1405172734633364,-0.14595800556535465,0.65,2.008359301658332,0.975631554797598
124,-1.6399134445548529,-0.29067805857483275,0.7,2.0002455544493367,0.9752879640921854
125,-0.29210698880856223,-0.29210698880856223,0.7,2.087146676570375,0.9752450184873038
126,0.0,0.0,0.7,0.4907531022974205,0.9752450184873038
127,-0.12042414811435476,-0.12042414811435476,0.7,1.60248949104382,0.9751986306266426
128,0.0,0.0,0.65,0.6662596518635927,0.9751986306266426
129,0.0,0.0,0.6,0.4924042943796526,0.9751986306266426
130,-2.4042633197676944,-0.12045138792188226,0.6,1.827328685328551,0.9746603364741747
131,-0.842155837771498,-0.10604523471086136,0.6,1.9532330472312291,0.974444480098537
132,-0.0961996225814842,-0.07877689234310714,0.6,1.8934117314268826,0.9743783503630707
133,0.0,0.0,0.55,0.9486154614650834,0.9743783503630707
134,0.0,0.0,0.55,0.6033568431690111,0.9743783503630707
135,0.0,0.0,0.5,0.5112877287609053,0.9743783503630707
136,0.0,0.0,0.45,0.8054774246792727,0.9743783503630707
137,-0.2260681841651258,-0.13969728682182891,0.45,1.83352079845465,0.9742978564261242
138,-2.1741833962104575,-0.1749065280215376,0.45,2.0286073181083473,0.9738188404119181
139,0.0,0.0,0.45,0.4955193984111579,0.9738188404119181
140,0.0,0.0,0.45,0.5019455424878259,0.9738188404119181
141,-1.2712801862509984,-0.1007914443879745,0.5,1.9485655583572015,0.9735124885906966
142,-1.8370415531397843,-0.28754359827974696,0.55,1.115075640097276,0.9731271765167674
143,-0.9273282249598896,-0.24762275226964547,0.55,2.00503111855385,0.972923071209957
144,0.0,0.0,0.5,0.4983368464895488,0.972923071209957
145,-1.1889352906274628,-0.16403003342979616,0.5,1.620612643979967,0.9726470492813741
146,0.0,0.0,0.5,0.4778115626324719,0.9726470492813741
147,-1.3611395709034622,0.013263134261357834,0.5,1.8821366639350936,0.9722981163986317
148,-2.2264212236722596,-0.23794174462011775,0.55,1.4096556708298855,0.9718213498404958
149,0.0,0.0,0.55,0.7987290142443012,0.9718213498404958
150,-1.1037607508710363,-0.26141382771111044,0.55,1.935711230808667,0.9715833608981708
151,-3.190591440689912,-0.39419516491628315,0.55,1.9690548144696456,0.970938278340718
152,-1.7613319157789082,-0.09490311471563473,0.55,1.4301034577925962,0.9705286056738299
